,Address,City,Status,State,Zip Code,lat,lng
138,3845 Elmore Ave.,Davenport,A,IA,52807,41.55936519999999,-90.52418329999999
139,2605 Blairs Ferry Rd NE,Cedar Rapids,A,IA,52402,42.0328362,-91.6800172
140,1610 Okoboji Avenue,Milford,A,IA,51351,43.3310909,-95.1499506
141,103 Walnut St. E,Columbus Junction,A,IA,52738,41.2795659,-91.3594706
142,Po Box 261 310 W Dillon,Marengo,A,IA,52301,41.7910438,-92.0735863
143,1101 73rd St,Windsor Heights,A,IA,50311,41.5982504,-93.7151353
144,1141 N Broadway,Council Bluffs,A,IA,51503,41.2710234,-95.8353013
145,4201 S. York St.,Sioux City,A,IA,51106,42.4323321,-96.37114290000001
146,904 N 8th St,Clear Lake,A,IA,50428,43.1429429,-93.3784455
147,611 S Division St,Stuart,A,IA,50250,41.4975872,-94.31844029999999
148,3221 Manawa Centre Dr,Council Bluffs,A,IA,51501,41.2258301,-95.84388330000002
149,110 W Cedar St,Marcus,A,IA,51035,42.8259009,-95.80856279999999
150,400 S Second,Bellevue,A,IA,52031,42.2552293,-90.42315970000001
151,210 East Tower Park Dr,Waterloo,A,IA,50702,42.4550355,-92.352494
152,1501 First Avenue East,Newton,A,IA,50208,41.6966191,-93.0339934
153,328 2nd Ave S,Fort Dodge,A,IA,50501,42.5025651,-94.1925601
154,2200 River Road,Council Bluffs,A,IA,51501,41.242323,-95.90991009999999
155,305 Airport Rd,Ames,A,IA,50010,42.002268,-93.61430329999999
156,106 W 2nd St,Washington,A,IA,52353,41.3006522,-91.6921293
157,3450 4th St SW,Mason City,A,IA,50401,43.15024680000001,-93.25317679999999
158,5225 Elmore Ave,Davenport,A,IA,52807,41.5731502,-90.5263731
159,244 W 4TH ST,St Ansgar,A,IA,50472,43.3782003,-92.921303
160,1414 48th St,Fort Madison,A,IA,52627,40.6242376,-91.3727175
161,324 West Agency Rd,West Burlington,A,IA,52655,40.8141761,-91.1609115
162,3003 North Hwy 61,Muscatine,A,IA,52761,41.4576527,-91.0254059
163,701 Mormon Trek Blvd,Iowa City,A,IA,52246,41.65224550000001,-91.57468399999999
164,3036 1st Ave South,Fort Dodge,A,IA,50501,42.5062194,-94.1536158
165,403 E 6th,Logan,A,IA,51546,41.6445449,-95.78611740000001
166,509 E Platt,Maquoketa,A,IA,52060,42.0690617,-90.65981909999999
167,2600 Hwy 71,Spirit Lake,A,IA,51360,43.3791888,-95.1279734
168,300 Iowa Speedway Dr,Newton,A,IA,50208,41.6972016,-93.0117856
169,1002 SE National Dr,Ankeny,A,IA,50021,41.7052154,-93.58474939999999
170,500 11th St,Spencer,A,IA,51301,43.1251976,-95.1526552
171,2645 Blairs Ferry Rd NE,Cedar Rapids,A,IA,52402,42.0317246,-91.6819913
172,3200 Manawa Dr,Council Bluffs,A,IA,51503,41.2269245,-95.8489018
173,4200 Dodge St,Dubuque,A,IA,52003,42.487899,-90.736055
174,3501 8th St SW,Altoona,A,IA,50009,41.64685009999999,-93.5049255
175,1001 73rd St,Windsor Heights,A,IA,50311,41.5971729,-93.7140009
176,2715 South 25th St,Clinton,A,IA,52732,41.8185175,-90.2429374
177,102 4th St North Box 434,Fairbank,A,IA,50629,42.6396487,-92.0477274
178,118 South Main St.,Holstein,A,IA,51025,42.4887096,-95.5445147
179,1500 North Jefferson,Indianola,A,IA,50125,41.3736597,-93.5556503
180,207 E Main St,Belmond,A,IA,50421,42.84600229999999,-93.6152091
181,2135 SE Delaware Ave,Ankeny,A,IA,50021,41.7097846,-93.57778929999999
182,814 W Bell Ave,Knoxville,A,IA,50138,41.3047744,-93.10600439999999
183,1334 Flammang Dr,Waterloo,A,IA,50702,42.4583583,-92.3304826
184,90 10th St S,Northwood,A,IA,50459,43.4437406,-93.2181087
185,3400 Edgewood Rd SW,Cedar Rapids,A,IA,52404,41.9449718,-91.7176937
186,107 E Traer,Greene,A,IA,50636,42.8960941,-92.8020585
187,1290 Hwy 18,Everly,A,IA,51338,43.184053,-95.329295
188,1918 SE 14th St,Des Moines,A,IA,50320,41.5709195,-93.5973669
189,103 Franklin St,Monona,A,IA,52159,43.0548601,-91.3905075
190,110 E Main St,Wesley,A,IA,50483,42.2626976,-92.68979279999999
191,100 W Main St,Fredericksburg,A,IA,50630,42.9647897,-92.19946039999999
192,1501 E San Marnan,Waterloo,A,IA,50702,42.4657709,-92.3280171
193,11148 Plum Dr,Urbandale,A,IA,50322,41.6471501,-93.7666833
194,623 S Marion St,Remsen,A,IA,51050,42.8089076,-95.9764419
195,5101 SE 14th St,Des Moines,A,IA,50315,41.5370613,-93.5945583
196,1300 50th St,West Des Moines,A,IA,50266,41.5911263,-93.7718831
197,1122 Broadway,Emmetsburg,A,IA,50536,43.1093713,-94.6785836
198,507 1st Ave #100,Rock Rapids,A,IA,51246,41.8780025,-93.097702
199,1030 Blairs Ferry Rd NE,Cedar Rapids,A,IA,52402,42.0371222,-91.6510224
200,109 N 4th St,Montezuma,A,IA,50171,41.5858633,-92.5234876
201,4151 4th St SW,Mason City,A,IA,50401,43.1458899,-93.2627631
202,1714 E Kimberly Rd,Davenport,A,IA,52807,41.5574707,-90.55063899999999
203,201 W 1st St,Sumner,A,IA,50674,42.8472736,-92.09923889999999
204,2802 S Center St,Marshalltown,A,IA,50158,42.0123556,-92.90948159999999
205,1798 Old Stage Rd,Decorah,A,IA,52101,43.2916201,-91.75357749999999
206,3400 Singing Hills Blvd,Sioux City,A,IA,51106,42.4336738,-96.36346089999999
207,1023 9th St,Onawa,A,IA,51040,42.0258495,-96.09551010000001
208,1940 Venture Dr,Ottumwa,A,IA,52501,41.0123879,-92.45577879999999
209,726 Creek Top,Council Bluffs,A,IA,51503,41.2625032,-95.8547919
210,5811 Elmore Ave,Davenport,A,IA,52807,41.579391,-90.5263731
211,425 E Leclaire Rd,Eldridge,A,IA,52748,41.6539041,-90.57743359999999
212,2225 Central Ave,Dubuque,A,IA,52001,42.5138252,-90.6717456
213,1010 E Mitchell Ave,Waterloo,A,IA,50702,42.4764416,-92.342869
214,1111 Holton Dr,Lemars,A,IA,51031,42.7819232,-96.1876709
215,733 16th Ave SE,Dyersville,A,IA,52040,42.4694207,-91.1161915
216,1607 North Broadway,Red Oak,A,IA,51566,41.0189175,-95.23277639999999
217,1831 Lake Ave NW,Storm Lake,A,IA,50588,42.6641559,-95.1969858
218,316 Main St,Manning,A,IA,51455,41.9085725,-95.0647788
219,3101 Floyd Blvd,Sioux City,A,IA,51108,42.5320667,-96.3748013
220,911 Central Ave,Hawarden,A,IA,51023,42.996109,-96.485394
221,525 Brandilynn Blvd,Cedar Falls,A,IA,50613,42.4867634,-92.43971189999999
222,501 7th Ave SE,Cedar Rapids,A,IA,52401,41.9755221,-91.6596353
223,1800 Elm St,Dubuque,A,IA,52001,42.5112567,-90.665224
224,3101 West Kimberly Rd,Davenport,A,IA,52806,41.5573787,-90.6224891
225,619 S Hwy 52,Guttenberg,A,IA,52052,42.7796581,-91.0997111
226,14 1/2 E Elm,Pocahontas,A,IA,50574,42.7326151,-94.668837
227,200 1st St East,Independence,A,IA,50644,42.4689641,-91.8928679
228,2203 A Avenue West,Oskaloosa,A,IA,52577,41.2986004,-92.6701259
229,1045 N Grand Ave,Mt Pleasant,A,IA,52641,40.9793412,-91.54083810000002
230,128 W Mission,Strawberry Point,A,IA,52076,42.6835241,-91.53591899999999
